accession	phylum	checkm2_completeness	checkm2_contamination
GB_GCA_019912385.1	Pseudomonadota	97.91	2.82
RS_GCF_018324685.1	Actinomycetota	96.79	1.49
GB_GCA_963663775.1	Bacillota	99.5	0.12
RS_GCF_016495865.1	Bacillota	97.63	1.43
RS_GCF_022985615.1	Bacteroidota	75.99	0.23
GB_GCA_002406055.1	Spirochaetota	95.96	2.8
RS_GCF_040546785.1	Actinomycetota	100.0	0.25
RS_GCF_020782245.1	Pseudomonadota	99.98	0.42
RS_GCF_003946505.1	Bacillota	99.85	0.32
RS_GCF_022012295.1	Pseudomonadota	99.98	0.54
GB_GCA_902773425.1	Bacillota	88.11	2.1
GB_GCA_022710345.1	Planctomycetota	79.5	2.2
GB_GCA_036270055.1	Verrucomicrobiota	92.73	1.4
GB_GCA_001412425.1	Cloacimonadota	96.32	2.93
GB_GCA_963693075.2	Acidobacteriota	92.76	0.0
GB_GCA_009777575.1	Cloacimonadota	91.31	1.55
GB_GCA_905215805.1	Bacillota	96.59	0.0
GB_GCA_001683985.1	Desulfobacterota	100.0	0.93
RS_GCF_000023065.1	Pseudomonadota	100.0	1.12
RS_GCF_001999985.1	Campylobacterota	100.0	0.78
RS_GCF_032337075.1	Pseudomonadota	100.0	0.06
RS_GCF_000738175.1	Actinomycetota	99.94	0.41
RS_GCF_002934065.1	Pseudomonadota	100.0	0.0
RS_GCF_000385175.1	Bacillota	99.67	0.15
RS_GCF_001685025.1	Bacillota	100.0	0.35
RS_GCF_040683015.1	Actinomycetota	100.0	1.57
RS_GCF_001908205.1	Pseudomonadota	100.0	0.09
RS_GCF_022678645.1	Actinomycetota	97.91	1.37
RS_GCF_000429405.1	Bacteroidota	100.0	0.18
GB_GCA_035601235.1	Gemmatimonadota	94.14	0.19
GB_GCA_040902085.1	Gemmatimonadota	91.46	0.54
GB_GCA_937996595.1	Bacteroidota	95.28	0.33
GB_GCA_015061685.1	Verrucomicrobiota	93.75	4.41
GB_GCA_003233305.1	Pseudomonadota	99.23	1.57
GB_GCA_040381535.1	Pseudomonadota	98.89	0.43
GB_GCA_963921305.3	Pseudomonadota	99.96	0.85
GB_GCA_041658245.1	Bacteroidota_A	99.96	6.61
GB_GCA_022712975.1	Desulfobacterota	97.97	4.19
GB_GCA_019455085.1	Bacteroidota	95.92	1.87
GB_GCA_023151315.1	Bacteroidota	99.99	0.22
GB_GCA_019114445.1	Bacteroidota	93.63	0.01
GB_GCA_005239935.1	Omnitrophota	92.39	0.95
RS_GCF_037890145.1	Bacteroidota	99.81	0.73
RS_GCF_028598555.1	Pseudomonadota	100.0	0.37
RS_GCF_023516455.1	Pseudomonadota	100.0	0.02
RS_GCF_001183985.1	Bacillota	100.0	1.54
RS_GCF_007896845.1	Bacteroidota	99.95	0.86
RS_GCF_040183165.1	Bacillota	100.0	0.51
RS_GCF_002802875.1	Actinomycetota	97.55	1.05
RS_GCF_014158035.1	Pseudomonadota	86.16	1.28
RS_GCF_001438705.1	Bacillota	99.96	0.05
RS_GCF_013359755.1	Pseudomonadota	100.0	0.0
RS_GCF_004337705.1	Actinomycetota	99.69	0.4
GB_GCA_028712075.1	Desulfobacterota	99.82	1.72
GB_GCA_902761655.1	Bacteroidota	93.68	0.71
GB_GCA_025062245.1	Desulfobacterota	93.34	0.18
GB_GCA_002384855.1	Actinomycetota	100.0	2.82
GB_GCA_900546285.1	Bacillota	98.44	1.8
RS_GCF_019423705.1	Bacillota	99.94	1.44
GB_GCA_944387885.1	Bacillota	84.87	0.79
GB_GCA_017616655.1	Bacteroidota	93.23	4.61
GB_GCA_947648875.1	Bacillota	97.58	2.41
GB_GCA_036677005.1	Bacteroidota	100.0	0.47
GB_GCA_028281235.1	Pseudomonadota	100.0	1.36
RS_GCF_038405225.1	Actinomycetota	100.0	0.07
RS_GCF_026913205.2	Bacillota	99.89	0.01
GB_GCA_963675805.1	Desulfobacterota	98.97	4.86
GB_GCA_028292625.1	Pseudomonadota	99.53	1.0
GB_GCA_910580015.1	Bacillota	81.84	0.01
GB_GCA_035473775.1	Verrucomicrobiota	94.54	0.42
RS_GCF_008370345.1	Pseudomonadota	99.52	0.02
GB_GCA_947258795.1	Pseudomonadota	97.32	1.41
GB_GCA_902762875.1	Bacillota	97.55	0.46
GB_GCA_949299375.1	Bacillota	91.73	0.62
GB_GCA_017307915.1	Pseudomonadota	94.42	4.75
GB_GCA_902788205.1	Spirochaetota	95.82	1.77
GB_GCA_015067005.1	Bacillota	99.67	1.1
GB_GCA_038251165.1	Bacteroidota	100.0	5.93
GB_GCA_902774145.1	Bacteroidota	96.88	0.58
GB_GCA_040830725.1	Pseudomonadota	98.65	0.82
GB_GCA_030523265.1	Bacillota	90.22	2.34
GB_GCA_017629515.1	Verrucomicrobiota	82.33	0.19
RS_GCF_900103035.1	Pseudomonadota	99.85	0.1
RS_GCF_000820185.1	Pseudomonadota	100.0	0.53
RS_GCF_023208195.1	Actinomycetota	98.98	0.37
RS_GCF_002874535.1	Bacillota	100.0	0.0
RS_GCF_027886425.1	Pseudomonadota	99.99	0.1
RS_GCF_036013955.1	Actinomycetota	100.0	0.23
RS_GCF_900106755.1	Bacteroidota	100.0	0.38
RS_GCF_036553525.1	Pseudomonadota	99.98	0.21
RS_GCF_023634845.1	Bacteroidota	99.99	5.2
RS_GCF_040613555.1	Actinomycetota	99.99	2.18
RS_GCF_011045815.1	Pseudomonadota	100.0	1.1
RS_GCF_000443995.1	Bdellovibrionota	99.98	0.69
RS_GCF_000269905.1	Bacillota	97.28	3.39
RS_GCF_022008395.1	Bacteroidota	99.94	0.22
RS_GCF_025331195.1	Actinomycetota	100.0	0.33
GB_GCA_027717645.1	Desulfobacterota_D	93.68	1.48
GB_GCA_934149325.1	Bacillota	90.98	0.23
GB_GCA_036391685.1	Chloroflexota	85.51	6.71
GB_GCA_038234815.1	Planctomycetota	90.62	1.09
GB_GCA_937872445.1	Actinomycetota	96.54	4.63
GB_GCA_913009875.1	Pseudomonadota	94.86	2.66
GB_GCA_013695915.1	Actinomycetota	100.0	3.57
GB_GCA_025354985.1	Chloroflexota	95.8	0.86
GB_GCA_007134695.1	Bacteroidota_A	91.23	0.16
GB_GCA_030536565.1	Bacillota	86.88	0.86
RS_GCF_963511795.1	Bacteroidota	97.74	0.68
RS_GCF_001936575.1	Bacteroidota	100.0	0.05
GB_GCA_035258805.1	Acidobacteriota	98.67	3.28
RS_GCF_039023475.1	Pseudomonadota	100.0	0.0
GB_GCA_947627465.1	Bacillota	97.35	2.02
RS_GCF_019711655.1	Pseudomonadota	100.0	0.02
RS_GCF_016786415.1	Pseudomonadota	99.96	0.5
RS_GCF_003568665.1	Bacteroidota	99.99	0.21
RS_GCF_900115615.1	Campylobacterota	100.0	0.06
GB_GCA_019137115.1	Bacillota	91.14	3.64
GB_GCA_947624235.1	Bacillota	95.4	0.06
GB_GCA_937906475.1	Planctomycetota	94.46	2.58
GB_GCA_937949355.1	Actinomycetota	99.52	2.12
GB_GCA_902786665.1	Bacteroidota	99.96	9.67
GB_GCA_020200155.1	Acidobacteriota	91.95	1.36
GB_GCA_017852835.1	Pseudomonadota	82.51	1.26
GB_GCA_036493895.1	Desulfobacterota_B	98.89	2.15
GB_GCA_963588675.1	Bacillota	91.3	0.54
GB_GCA_016879935.1	Myxococcota	95.14	1.24
GB_GCA_020444265.1	Electryoneota	94.18	0.15
GB_GCA_036490435.1	Actinomycetota	95.81	7.04
RS_GCF_028289625.1	Bacteroidota	94.15	0.09
GB_GCA_038225475.1	Pseudomonadota	99.99	0.0
RS_GCF_000012845.1	Bacteroidota	99.97	1.28
RS_GCF_002929535.1	Actinomycetota	98.99	2.22
RS_GCF_025660475.1	Bacillota	87.16	0.27
RS_GCF_036964665.1	Pseudomonadota	100.0	0.21
RS_GCF_000770795.1	Pseudomonadota	99.99	0.17
RS_GCF_000429725.1	Bacillota	99.92	0.08
RS_GCF_039529395.1	Actinomycetota	100.0	0.01
GB_GCA_934183185.1	Bacillota	94.39	3.05
GB_GCA_029938235.1	Bacteroidota	91.74	0.2
GB_GCA_019120055.1	Bacteroidota	90.42	0.35
GB_GCA_039812125.1	Actinomycetota	98.82	1.12
GB_GCA_003554945.1	T1Sed10-126	93.5	0.01
GB_GCA_022736375.1	Campylobacterota	97.56	1.26
GB_GCA_022703445.1	Planctomycetota	81.08	4.18
GB_GCA_041662485.1	Verrucomicrobiota	98.1	0.06
RS_GCF_964026685.1	Pseudomonadota	96.95	0.0
GB_GCA_947460255.1	Bacteroidota	97.0	2.37
GB_GCA_903897605.1	Pseudomonadota	95.78	1.06
GB_GCA_903911435.1	Bacteroidota	99.55	0.52
GB_GCA_902765595.1	Bacillota	84.08	4.37
RS_GCF_031932625.1	Bacteroidota	99.24	0.0
GB_GCA_039592115.1	Gemmatimonadota	93.26	3.09
RS_GCF_001641825.1	Pseudomonadota	99.74	0.03
GB_GCA_002813895.1	Cyanobacteriota	99.99	0.0
GB_GCA_023404705.1	Pseudomonadota	99.96	1.2
RS_GCF_000426505.1	Pseudomonadota	98.62	0.0
GB_GCA_016281085.1	Bacillota	87.79	7.42
GB_GCA_027484445.1	Verrucomicrobiota	95.86	4.17
GB_GCA_039591655.1	Gemmatimonadota	95.24	0.68
RS_GCF_913058035.1	Pseudomonadota	100.0	5.48
GB_GCA_020073215.1	Acidobacteriota	97.98	5.65
GB_GCA_002454415.1	Bacteroidota	85.61	2.5
GB_GCA_904501705.1	Bacillota	92.02	0.07
GB_GCA_003279935.1	Cyanobacteriota	92.21	0.04
GB_GCA_002862095.1	Pseudomonadota	92.8	0.01
GB_GCA_026388275.1	Desulfobacterota_G	99.51	0.62
GB_GCA_030774055.1	Acidobacteriota	96.96	0.03
GB_GCA_031359215.1	Acidobacteriota	96.48	1.37
GB_GCA_963675365.1	Bacillota	97.15	3.63
RS_GCF_014850975.1	Pseudomonadota	99.99	1.06
RS_GCF_028401405.1	Actinomycetota	99.91	0.08
GB_GCA_036387475.1	Acidobacteriota	97.7	3.46
GB_GCA_905208455.1	Bacillota	94.28	0.24
RS_GCF_024345835.1	Cyanobacteriota	97.71	0.94
RS_GCF_014204525.1	Pseudomonadota	100.0	0.0
RS_GCF_016862375.1	Actinomycetota	100.0	5.56
GB_GCA_025357545.1	Acidobacteriota	95.62	2.08
GB_GCA_023436715.1	Acidobacteriota	98.97	5.49
GB_GCA_023417885.1	Planctomycetota	91.85	0.58
GB_GCA_021791875.1	Acidobacteriota	93.0	1.29
GB_GCA_022770345.1	Bacillota	82.78	0.33
GB_GCA_937899905.1	Planctomycetota	95.07	0.31
GB_GCA_900770075.1	Spirochaetota	89.48	0.92
GB_GCA_902489775.1	Actinomycetota	92.77	1.09
RS_GCF_009688945.1	Desulfobacterota	97.05	7.54
RS_GCF_028621995.1	Fusobacteriota	100.0	0.7
RS_GCF_026167665.1	Actinomycetota	99.64	1.69
RS_GCF_002096595.1	Bacillota	99.99	0.05
RS_GCF_000301055.1	Bacillota	97.94	0.12
RS_GCF_001428005.1	Actinomycetota	99.97	1.13
GB_GCA_017616165.1	Spirochaetota	87.07	6.27
GB_GCA_030430255.1	Verrucomicrobiota	89.13	6.75
RS_GCF_026393345.1	Actinomycetota	88.88	0.75
GB_GCA_944377745.1	Bacillota	99.98	0.88
GB_GCA_003249015.1	Cyanobacteriota	96.08	0.12
GB_GCA_029782025.1	Actinomycetota	95.71	0.64
GB_GCA_020846135.1	Pseudomonadota	99.9	0.07
GB_GCA_028279555.1	Pseudomonadota	99.91	0.14
GB_GCA_937858655.1	Actinomycetota	96.46	3.12
GB_GCA_001800975.1	Bacteroidota	99.8	1.16
RS_GCF_002022505.1	Pseudomonadota	100.0	1.5
GB_GCA_958295535.1	Gemmatimonadota	93.33	0.22
GB_GCA_963675435.1	Bacteroidota	100.0	0.29
GB_GCA_919901555.1	Nitrospirota	96.49	1.1
GB_GCA_963977005.1	Pseudomonadota	96.91	1.44
RS_GCF_000204135.1	Chlamydiota	99.51	0.06
GB_GCA_036519775.1	Actinomycetota	94.2	4.86
RS_GCF_033949965.1	Bacillota	99.88	0.0
GB_GCA_036679495.1	Gemmatimonadota	88.89	2.39
GB_GCA_947626195.1	Actinomycetota	92.83	0.04
RS_GCF_000331245.1	Pseudomonadota	100.0	0.12
GB_GCA_022378355.1	Pseudomonadota	100.0	0.47
GB_GCA_040191315.1	Bacillota	100.0	0.01
GB_GCA_900548855.1	Bacillota	99.2	4.02
GB_GCA_024275515.1	Spirochaetota	94.84	6.51
GB_GCA_002714805.1	Bacteroidota	93.67	2.38
GB_GCA_903888615.1	Pseudomonadota	99.53	0.0
GB_GCA_947624945.1	Bacillota	96.87	1.57
GB_GCA_031413355.1	Gemmatimonadota	100.0	3.35
GB_GCA_017304135.1	Acidobacteriota	97.49	2.25
GB_GCA_029335925.2	Pseudomonadota	92.47	0.07
GB_GCA_944332155.1	Bacillota	92.89	0.61
GB_GCA_021819085.1	Pseudomonadota	99.98	0.85
GB_GCA_029210175.1	Pseudomonadota	99.99	0.0
GB_GCA_018240465.1	Pseudomonadota	100.0	0.49
GB_GCA_900470285.1	Pseudomonadota	99.76	0.11
RS_GCF_018861755.1	Bacillota	97.99	3.92
RS_GCF_002259585.1	Actinomycetota	99.5	0.1
RS_GCF_000285535.1	Bacillota	100.0	1.99
RS_GCF_000014445.1	Bacillota	99.99	1.23
RS_GCF_900100305.1	Pseudomonadota	100.0	0.0
RS_GCF_000281895.1	Pseudomonadota	100.0	0.2
GB_GCA_036551635.1	Actinomycetota	99.95	0.66
GB_GCA_018436925.1	Desulfobacterota	100.0	2.7
GB_GCA_013215055.1	Pseudomonadota	84.7	3.95
GB_GCA_035695715.1	Planctomycetota	85.58	3.58
GB_GCA_013298185.1	Deinococcota	94.57	0.83
GB_GCA_017546725.1	Bacteroidota	85.33	3.09
GB_GCA_030429495.1	Pseudomonadota	100.0	0.13
GB_GCA_028823855.1	Pseudomonadota	98.53	3.36
GB_GCA_017302615.1	Pseudomonadota	99.84	0.04
GB_GCA_003354135.1	Pseudomonadota	99.03	0.72
GB_GCA_947501605.1	Planctomycetota	91.41	1.88
RS_GCF_023586525.1	Pseudomonadota	99.99	0.01
GB_GCA_035765675.1	Verrucomicrobiota	99.33	0.27
RS_GCF_009617595.1	Pseudomonadota	99.96	0.04
GB_GCA_034417075.1	Chloroflexota	93.83	3.76
RS_GCF_015864825.1	Pseudomonadota	100.0	0.03
RS_GCF_004354085.1	Pseudomonadota	99.99	0.17
RS_GCF_945906775.1	Pseudomonadota	100.0	0.32
GB_GCA_944322025.1	Bacteroidota	94.6	0.42
GB_GCA_026003335.1	Bacteroidota	100.0	1.49
GB_GCA_937949615.1	Muiribacteriota	94.34	1.8
GB_GCA_020638955.1	Planctomycetota	99.99	0.58
GB_GCA_927353735.1	Bacillota	94.2	0.32
RS_GCF_029961025.1	Actinomycetota	99.94	0.04
GB_GCA_017449745.1	Bacillota	91.46	4.84
GB_GCA_947258705.1	Pseudomonadota	100.0	0.0
GB_GCA_903865035.1	Pseudomonadota	99.79	0.59
GB_GCA_034520365.1	Desulfobacterota	99.39	2.19
GB_GCA_022784805.1	Spirochaetota	96.77	2.47
GB_GCA_035696085.1	Bacteroidota	86.56	3.4
GB_GCA_040883135.1	Desulfobacterota	90.02	0.31
GB_GCA_039589315.1	Gemmatimonadota	95.19	5.07
RS_GCF_034137685.1	Bacillota	100.0	0.01
GB_GCA_001602415.1	Bacteroidota	99.96	0.8
GB_GCA_036267835.1	Pseudomonadota	100.0	1.87
RS_GCF_963681945.1	Pseudomonadota	100.0	0.45
GB_GCA_016794365.1	Myxococcota	94.28	1.15
GB_GCA_035519355.1	Acidobacteriota	92.59	6.42
GB_GCA_016716335.1	Bacteroidota	98.72	2.5
GB_GCA_025757985.1	Bacillota	99.97	2.84
RS_GCF_038439875.1	Bacillota	98.41	1.38
RS_GCF_020166515.1	Bacteroidota	99.99	0.4
RS_GCF_030160755.1	Pseudomonadota	99.99	0.94
GB_GCA_035461175.1	Actinomycetota	96.01	1.68
GB_GCA_020845735.1	Chloroflexota	92.24	1.22
RS_GCF_036378875.1	Actinomycetota	96.49	2.4
GB_GCA_016871155.1	Acidobacteriota	99.87	6.54
GB_GCA_013151025.1	Acidobacteriota	92.21	0.01
RS_GCF_002157205.1	Pseudomonadota	99.99	0.0
GB_GCA_034430375.1	Chloroflexota	95.63	2.33
GB_GCA_035565775.1	Pseudomonadota	89.91	1.16
GB_GCA_040768925.1	Bacillota	98.9	0.05
RS_GCF_005885605.1	Pseudomonadota	100.0	0.78
RS_GCF_900174585.1	Pseudomonadota	100.0	1.34
GB_GCA_041497835.1	Acidobacteriota	94.58	1.16
RS_GCF_003048555.1	Campylobacterota	99.93	0.05
RS_GCF_002931555.1	Actinomycetota	98.38	0.02
RS_GCF_011752565.1	Pseudomonadota	100.0	0.84
GB_GCA_002304995.1	Desulfobacterota	95.8	2.16
GB_GCA_913030945.1	Verrucomicrobiota	93.64	2.06
GB_GCA_036556265.1	Pseudomonadota	92.69	0.84
GB_GCA_029565065.1	Acidobacteriota	93.52	4.81
GB_GCA_944320985.1	Bacteroidota	87.19	2.14
GB_GCA_020024735.1	Bacillota	91.44	0.07
GB_GCA_041497455.1	Acidobacteriota	94.11	3.1
GB_GCA_005116895.1	Nitrospirota	89.67	0.01
GB_GCA_002384935.1	Pseudomonadota	95.22	0.04
GB_GCA_040756175.1	Deinococcota	83.86	1.25
GB_GCA_934394595.1	Bacillota	82.79	0.45
GB_GCA_016875015.1	Desulfobacterota	99.96	0.01
GB_GCA_040399285.1	Cyanobacteriota	100.0	0.32
GB_GCA_016793095.1	Myxococcota	98.65	1.98
RS_GCF_002355475.1	Pseudomonadota	100.0	0.23
RS_GCF_016863575.1	Actinomycetota	100.0	0.13
GB_GCA_022791195.1	Bacillota	82.61	0.12
RS_GCF_014196715.1	Bacteroidota	99.98	0.01
RS_GCF_000382345.1	Pseudomonadota	100.0	2.31
RS_GCF_918698085.1	Bacteroidota	100.0	0.03
RS_GCF_001612985.1	Actinomycetota	100.0	0.17
GB_GCA_900313015.1	Pseudomonadota	100.0	0.13
GB_GCA_016872675.1	Planctomycetota	95.02	0.91
GB_GCA_947463325.1	Pseudomonadota	99.99	0.0
GB_GCA_018716575.1	Bacillota	79.7	0.53
GB_GCA_015665315.1	Bacteroidota	99.27	0.54
RS_GCF_959029255.1	Bacteroidota	89.33	0.05
GB_GCA_958421275.1	Actinomycetota	99.91	0.45
GB_GCA_018385315.1	Spirochaetota	94.64	1.78
GB_GCA_947479755.1	Bacteroidota	99.58	1.87
RS_GCF_027111255.2	Bacteroidota	99.99	0.0
GB_GCA_018712075.1	Bacillota	99.95	0.94
RS_GCF_000819445.1	Actinomycetota	100.0	0.12
GB_GCA_031360575.1	Gemmatimonadota	90.22	0.72
GB_GCA_947495575.1	Pseudomonadota	100.0	0.57
RS_GCF_000422505.1	Bacillota	100.0	1.25
RS_GCF_014650755.1	Actinomycetota	99.43	0.41
GB_GCA_003671055.1	Planctomycetota	95.77	1.15
GB_GCA_036570225.1	Gemmatimonadota	83.05	2.67
GB_GCA_041609995.1	Actinomycetota	83.83	0.34
GB_GCA_037133555.1	Bacteroidota	98.06	1.96
GB_GCA_017859785.1	Actinomycetota	98.81	0.08
GB_GCA_029864385.1	Pseudomonadota	88.94	5.47
GB_GCA_035508495.1	Desulfobacterota_B	96.7	3.71
GB_GCA_024684535.1	Bacillota	93.46	2.66
GB_GCA_023387375.1	Bacteroidota	93.85	0.2
RS_GCF_018263905.1	Pseudomonadota	100.0	0.5
GB_GCA_963662375.1	Pseudomonadota	91.08	2.35
RS_GCF_000621565.1	Bacillota	100.0	0.31
RS_GCF_002265625.1	Bacteroidota	100.0	1.01
RS_GCF_002127265.1	Pseudomonadota	98.41	0.14
GB_GCA_003151515.1	Verrucomicrobiota	92.41	0.88
GB_GCA_002707985.1	Pseudomonadota	89.67	0.68
GB_GCA_902490405.1	Actinomycetota	92.37	1.13
GB_GCA_018701215.1	Pseudomonadota	98.55	1.67
GB_GCA_033549305.1	Bacillota	99.07	1.11
GB_GCA_016125505.1	Pseudomonadota	100.0	5.72
GB_GCA_037133015.1	Acidobacteriota	99.34	0.35
GB_GCA_025355345.1	Desulfobacterota	96.79	0.23
RS_GCF_001047675.1	Pseudomonadota	94.37	0.01
RS_GCF_900129505.1	Pseudomonadota	100.0	1.09
RS_GCF_002356335.1	Actinomycetota	100.0	0.2
RS_GCF_038396845.1	Pseudomonadota	100.0	0.13
GB_GCA_947475175.1	Pseudomonadota	95.3	0.0
GB_GCA_034680345.1	Pseudomonadota	98.36	0.34
RS_GCF_014764685.1	Pseudomonadota	100.0	3.42
RS_GCF_014154935.1	Planctomycetota	100.0	3.09
RS_GCF_900185595.1	Cyanobacteriota	99.89	0.14
RS_GCF_016892605.1	Bacillota	100.0	3.32
RS_GCF_000525795.1	Bacillota	89.95	3.06
RS_GCF_019793235.1	Pseudomonadota	99.87	0.01
RS_GCF_028823535.1	Pseudomonadota	100.0	5.65
RS_GCF_001984055.1	Pseudomonadota	100.0	2.51
RS_GCF_900187985.1	Pseudomonadota	99.99	0.02
RS_GCF_040650635.1	Actinomycetota	99.98	0.27
GB_GCA_038208015.1	Gemmatimonadota	92.67	4.31
GB_GCA_009885735.1	Armatimonadota	97.08	4.18
GB_GCA_946221065.1	Actinomycetota	100.0	0.0
GB_GCA_947852905.1	Bacteroidota	99.94	0.01
GB_GCA_902596925.1	Pseudomonadota	97.7	0.04
GB_GCA_018813285.1	Omnitrophota	96.71	1.32
GB_GCA_036171615.1	Bdellovibrionota	93.96	2.69
GB_GCA_028280325.1	Bacillota	94.44	4.29
GB_GCA_023269915.1	Aquificota	99.55	0.17
GB_GCA_041562495.1	Pseudomonadota	91.12	2.09
GB_GCA_947165675.1	Bacteroidota	98.07	1.29
RS_GCF_038397775.1	Pseudomonadota	100.0	1.21
RS_GCF_002814095.1	Pseudomonadota	99.99	0.07
GB_GCA_017463615.1	Bacteroidota	93.13	2.86
GB_GCA_963661325.1	Bacillota	92.03	0.77
GB_GCA_039814425.1	Pseudomonadota	98.28	0.38
RS_GCF_000934605.2	Pseudomonadota	100.0	0.15
RS_GCF_000186245.1	Campylobacterota	100.0	0.02
RS_GCF_003116835.1	Bacillota	100.0	1.92
RS_GCF_900109575.1	Bacteroidota	100.0	4.17
RS_GCF_000701425.1	Deinococcota	99.99	0.15
RS_GCF_903819165.1	Bacillota	99.47	0.69
RS_GCF_000801955.1	Pseudomonadota	99.98	0.16
RS_GCF_024809425.1	Pseudomonadota	100.0	0.2
RS_GCF_025506355.1	Actinomycetota	99.37	1.81
GB_GCA_000169395.1	Pseudomonadota	99.92	0.15
GB_GCA_963976765.1	Planctomycetota	100.0	0.49
GB_GCA_903850335.1	Bacteroidota	95.63	1.92
GB_GCA_003963125.1	Pseudomonadota	93.63	1.16
GB_GCA_002398365.1	Bacteroidota	95.23	0.1
GB_GCA_023623185.1	Bacillota	88.36	1.72
RS_GCF_018780105.1	Pseudomonadota	100.0	0.22
RS_GCF_016780825.1	Pseudomonadota	88.45	0.23
GB_GCA_038229175.1	Pseudomonadota	91.42	1.6
GB_GCA_900316885.1	Bacillota	85.07	4.77
GB_GCA_003327435.1	Bacteroidota_A	98.59	0.19
GB_GCA_902766335.1	Bacillota	89.62	1.63
GB_GCA_027625095.1	Planctomycetota	94.97	5.8
GB_GCA_016293365.1	Bacillota	94.23	0.98
GB_GCA_905221455.1	Bacillota	99.99	0.03
RS_GCF_021018745.1	Cyanobacteriota	99.96	0.66
RS_GCF_016908875.1	Bacillota	100.0	0.0
GB_GCA_019114175.1	Actinomycetota	96.08	0.07
RS_GCF_900205605.1	Actinomycetota	100.0	0.66
RS_GCF_030268225.1	Actinomycetota	100.0	0.93
GB_GCA_007859835.1	Planctomycetota	100.0	2.94
RS_GCF_000423845.1	Desulfobacterota	100.0	0.93
RS_GCF_001311135.1	Bacillota	91.36	7.1
RS_GCF_004331345.1	Actinomycetota	100.0	2.38
RS_GCF_000786645.1	Bacillota	99.88	5.19
RS_GCF_014202475.1	Actinomycetota	100.0	0.05
RS_GCF_013449685.1	Pseudomonadota	100.0	0.04
RS_GCF_003399445.1	Pseudomonadota	99.54	0.04
GB_GCA_900545915.1	Bacteroidota	92.19	0.62
GB_GCA_947589185.1	Bacillota	99.89	0.98
GB_GCA_028291985.1	Pseudomonadota	97.15	1.34
RS_GCF_039969435.1	Actinomycetota	99.95	0.39
RS_GCF_002410825.1	Bacteroidota	98.11	0.1
GB_GCA_903935355.1	Pseudomonadota	94.1	0.33
GB_GCA_022509225.1	Bacteroidota	83.45	2.39
GB_GCA_002167805.1	Bacteroidota	93.2	4.46
GB_GCA_012522255.1	Bacillota	94.75	5.48
GB_GCA_024710165.1	Pseudomonadota	94.32	6.71
GB_GCA_035607085.1	Acidobacteriota	98.85	1.52
GB_GCA_018433865.1	Spirochaetota	99.91	0.61
