accession	order	checkm2_completeness	checkm2_contamination
GB_GCA_023145185.1	EX4484-6	90.83	0.3
RS_GCF_013391085.1	Halobacteriales	99.88	2.03
RS_GCF_020217425.1	Halobacteriales	99.31	1.71
GB_GCA_009784745.1	Methanomassiliicoccales	84.87	2.06
RS_GCF_000875775.1	Nitrososphaerales	99.86	0.1
RS_GCF_002835825.1	Methanomicrobiales	90.18	2.54
RS_GCF_005239435.1	Halobacteriales	100.0	9.09
RS_GCF_001577775.1	Thermococcales	98.73	0.43
GB_GCA_938091805.1	Bathyarchaeales	96.29	0.39
GB_GCA_040755655.1	JBFMAP01	86.35	0.22
GB_GCA_003116855.1	Sulfolobales	94.77	0.15
GB_GCA_035253345.1	Nitrososphaerales	97.13	2.32
GB_GCA_036376955.1	Nitrososphaerales	87.33	3.0
GB_GCA_029241965.1	Alkanophagales	92.68	2.73
GB_GCA_026626905.1	Sulfolobales	99.92	0.01
GB_GCA_041500785.1	Bathyarchaeales	98.78	3.44
GB_GCA_038881895.1	Gearchaeales	97.01	0.79
GB_GCA_002923215.1	Hydrothermarchaeales	90.09	1.45
RS_GCF_900110535.1	Halobacteriales	99.99	0.88
GB_GCA_021160575.1	Methanomethylicales	91.89	0.97
GB_GCA_038858525.1	Jordiarchaeales	92.7	2.81
GB_GCA_963676235.1	Methanomassiliicoccales	99.66	0.49
GB_GCA_002737445.1	Nitrososphaerales	99.25	0.1
GB_GCA_024275415.1	Thorarchaeales	92.9	4.46
GB_GCA_026014485.1	Bathyarchaeales	96.51	1.46
GB_GCA_963640995.1	Methanomassiliicoccales	99.92	0.85
GB_GCA_031200235.1	Thermoplasmatales	97.52	0.98
GB_GCA_003661385.1	B14-G2	91.12	1.89
GB_GCA_001507955.1	Methanobacteriales	94.02	0.33
GB_GCA_002010285.1	Archaeoglobales	96.5	0.11
GB_GCA_037478935.1	Methanomethylicales	96.5	0.59
GB_GCA_035271165.1	Methanomassiliicoccales	95.23	0.42
RS_GCF_000015145.1	Sulfolobales	99.99	0.58
GB_GCA_023379825.1	Thermoplasmatales	81.56	1.44
RS_GCF_001261915.1	Halobacteriales	94.53	1.46
GB_GCA_038881635.1	Sulfolobales	97.21	0.44
RS_GCF_963667985.1	Methanomicrobiales	98.12	0.33
GB_GCA_035703205.1	Nitrososphaerales	95.18	0.63
RS_GCF_900215575.1	Halobacteriales	95.72	0.33
GB_GCA_021163065.1	Archaeoglobales	95.9	2.9
GB_GCA_038741355.1	Caldarchaeales	89.32	0.32
GB_GCA_034667685.1	JACQPN01	99.0	1.29
GB_GCA_016839265.1	Odinarchaeales	97.32	0.46
GB_GCA_029258795.1	EX4484-52	96.3	0.0
GB_GCA_003164295.1	Bathyarchaeales	97.69	8.34
GB_GCA_022450565.1	Nitrososphaerales	95.03	3.13
GB_GCA_003021085.1	Halobacteriales	81.5	0.72
GB_GCA_038883775.1	Bathyarchaeales	91.37	5.12
RS_GCF_037031225.1	Halobacteriales	99.96	0.58
GB_GCA_903926075.1	Methanomicrobiales	96.85	0.19
GB_GCA_038890745.1	Anstonellales	93.83	0.12
GB_GCA_026127935.1	Thermoplasmatales	92.28	0.33
GB_GCA_002813105.2	UBA148	97.24	0.02
GB_GCA_937897875.1	Nitrososphaerales	93.15	0.56
GB_GCA_038869735.1	Anstonellales	96.85	0.07
GB_GCA_903828975.1	Methanomicrobiales	97.82	2.29
GB_GCA_026014805.1	Bathyarchaeales	96.55	0.87
RS_GCF_000979455.1	Methanosarcinales	99.93	1.17
RS_GCF_002214485.1	Thermococcales	99.98	0.49
RS_GCF_016294135.1	Methanobacteriales	97.69	0.01
GB_GCA_016214785.1	SG8-5	91.98	0.52
GB_GCA_003650675.1	Thermofilales	96.52	6.45
GB_GCA_038870975.1	B24	92.86	2.33
GB_GCA_024278375.1	WALJ01	91.2	6.25
GB_GCA_028714235.1	Fermentimicrarchaeales	91.77	0.3
GB_GCA_035276505.1	Nitrososphaerales	95.71	1.56
GB_GCA_013821245.1	Nitrososphaerales	94.61	1.36
GB_GCA_036677555.1	Methanomassiliicoccales	99.93	0.45
RS_GCF_020097815.1	Halobacteriales	99.44	0.16
GB_GCA_030651815.1	Methanomicrobiales	99.91	3.14
GB_GCA_027078475.1	Korarchaeales	98.66	1.38
GB_GCA_009786255.1	Bathyarchaeales	96.36	1.18
GB_GCA_040514375.1	Sulfolobales	99.6	0.35
GB_GCA_003551265.1	Halobacteriales	88.43	0.83
RS_GCF_000336755.1	Halobacteriales	99.71	1.35
GB_GCA_021826925.1	Thermoplasmatales	85.29	0.8
GB_GCA_030539595.1	Methanomicrobiales	85.09	0.19
GB_GCA_038889235.1	Jordiarchaeales	95.03	3.27
GB_GCA_041287325.1	Thermoproteales	98.62	0.1
GB_GCA_020356005.1	JAEHCK01	78.42	1.25
GB_GCA_035527915.1	Methanomicrobiales	93.08	0.35
RS_GCF_022014235.1	Methanobacteriales	99.81	0.03
GB_GCA_944322255.1	Methanomassiliicoccales	96.33	0.28
RS_GCF_000011205.1	Sulfolobales	99.97	0.28
RS_GCF_900113615.1	Halobacteriales	99.54	0.08
GB_GCA_003021175.1	Halobacteriales	96.7	0.27
GB_GCA_001412335.1	Methanomicrobiales	89.32	1.54
GB_GCA_949320185.1	Methanomicrobiales	84.17	0.26
GB_GCA_027345195.1	Thermoplasmatales	85.4	1.42
GB_GCA_035252645.1	Nitrososphaerales	99.4	0.93
GB_GCA_027014125.1	Sulfolobales	99.8	0.0
RS_GCF_000966265.1	Thermococcales	99.99	0.42
GB_GCA_022866015.1	DHVEG-1	83.9	2.25
GB_GCA_009392915.1	CSSED10-239	94.61	0.12
RS_GCF_002787055.1	Nitrososphaerales	99.97	0.07
RS_GCF_963674485.1	Methanosarcinales	100.0	7.47
GB_GCA_000145985.1	Sulfolobales	99.84	0.24
GB_GCA_016190055.1	Nitrososphaerales	87.52	0.94
RS_GCF_002813695.1	Methanobacteriales	98.19	0.22
GB_GCA_012518265.1	Methanosarcinales	80.89	0.25
GB_GCA_905479565.1	Nitrososphaerales	95.03	2.36
RS_GCF_002844195.1	Halobacteriales	99.5	4.75
GB_GCA_038842485.1	Hadarchaeales	88.89	0.42
GB_GCA_031286065.1	Methanosarcinales	79.39	0.06
GB_GCA_021324115.1	Conexivisphaerales	95.14	1.77
RS_GCF_000258515.1	Thermococcales	99.91	0.1
RS_GCF_020150815.1	Halobacteriales	99.66	0.41
GB_GCA_018238545.1	Heimdallarchaeales	91.83	4.17
RS_GCF_029633965.1	Methanomicrobiales	99.77	0.96
GB_GCA_038843675.1	40CM-2-53-6	97.72	2.8
GB_GCA_036769505.1	Nitrososphaerales	87.25	0.48
RS_GCF_041154675.1	Sulfolobales	99.54	0.95
GB_GCA_027019885.1	Archaeoglobales	96.08	8.75
GB_GCA_020341795.1	DHVEG-1	83.9	0.36
GB_GCA_002009975.1	Thermococcales	99.99	1.76
GB_GCA_029259415.1	Archaeoglobales	99.16	0.0
GB_GCA_017468935.1	Methanomassiliicoccales	96.8	4.12
GB_GCA_019720975.1	Sysuiplasmatales	95.17	5.62
GB_GCA_013415565.1	Methanomicrobiales	93.31	0.01
RS_GCF_000337595.1	Halobacteriales	97.85	1.15
RS_GCF_024218775.1	Halobacteriales	99.82	1.53
GB_GCA_040268405.1	Bathyarchaeales	96.74	3.35
RS_GCF_041647995.1	Thermococcales	99.83	0.29
RS_GCF_000246985.2	Thermococcales	99.88	0.51
GB_GCA_018396875.1	Bathyarchaeales	93.78	1.64
RS_GCF_000265525.1	Thermococcales	99.3	0.3
GB_GCA_038824035.1	Sulfolobales	99.67	0.36
GB_GCA_027028545.1	Sulfolobales	96.49	0.71
RS_GCF_900102375.1	Halobacteriales	99.93	0.71
GB_GCA_014361455.1	Methanomethylicales	93.71	4.56
GB_GCA_030753015.1	JASMDC01	98.92	5.01
GB_GCA_027460535.1	Methanosarcinales	99.84	0.69
GB_GCA_038727705.1	Sulfolobales	98.6	1.24
GB_GCA_036504475.1	Methanosarcinales	92.72	2.02
RS_GCF_002214365.1	Thermococcales	99.9	0.2
GB_GCA_028715545.1	UBA148	94.18	0.0
GB_GCA_034658695.1	Methanosarcinales	87.61	2.93
RS_GCF_013267195.1	Halobacteriales	99.97	1.01
RS_GCF_001639285.1	Methanobacteriales	94.69	0.33
RS_GCF_006274605.1	Thermococcales	99.99	0.18
RS_GCF_001602375.1	Methanomicrobiales	99.85	0.76
GB_GCA_025061115.1	Culexarchaeales	99.99	7.65
RS_GCF_023008545.1	Halobacteriales	99.99	1.7
GB_GCA_949295765.1	Methanomassiliicoccales	91.07	3.32
RS_GCF_000970305.1	Methanosarcinales	99.99	1.23
RS_GCF_023204835.1	Halobacteriales	93.49	0.48
GB_GCA_037134435.1	Methanomicrobiales	88.45	1.69
RS_GCF_000217715.1	Halobacteriales	99.98	1.65
RS_GCF_009729545.1	Sulfolobales	99.98	0.41
GB_GCA_937974645.1	Caldarchaeales	81.99	0.32
RS_GCF_041205745.1	Halobacteriales	99.93	3.15
RS_GCF_001971705.1	Halobacteriales	99.94	0.81
GB_GCA_030055465.1	Nezhaarchaeales	67.22	0.03
RS_GCF_000308215.1	Methanomassiliicoccales	99.69	4.29
GB_GCA_002506105.1	Methanomicrobiales	93.86	0.13
GB_GCA_041500425.1	Bathyarchaeales	99.74	4.9
GB_GCA_038727515.1	Culexarchaeales	93.62	2.87
GB_GCA_026413885.1	Sulfolobales	89.02	1.26
GB_GCA_002010065.2	Hydrothermarchaeales	99.95	1.84
RS_GCF_000969985.1	Methanosarcinales	99.95	1.44
GB_GCA_015660915.1	Bog-38	90.77	0.52
GB_GCA_017461225.1	Methanomassiliicoccales	97.09	0.43
GB_GCA_037440825.1	Anstonellales	95.62	0.18
RS_GCF_000336635.1	Halobacteriales	99.99	1.92
GB_GCA_041665945.1	Anstonellales	92.54	1.2
GB_GCA_022678445.1	Sulfolobales	99.98	0.05
GB_GCA_004347965.1	Nezhaarchaeales	93.44	1.02
GB_GCA_017601245.1	EX4484-205	92.45	1.92
GB_GCA_033272285.1	Nitrososphaerales	94.81	0.67
RS_GCF_000026045.1	Halobacteriales	98.7	0.43
RS_GCF_036397675.1	Nitrososphaerales	96.66	0.27
GB_GCA_021820245.1	Thermoplasmatales	79.56	0.33
RS_GCF_002355635.1	Halobacteriales	99.52	0.13
RS_GCF_024227715.1	Halobacteriales	98.39	3.06
GB_GCA_030594725.1	DTKX01	81.26	2.31
GB_GCA_038870455.1	JACRGF01	90.04	0.86
GB_GCA_963645865.1	Methanomassiliicoccales	95.08	0.51
RS_GCF_024054535.1	Thermococcales	99.17	0.2
GB_GCA_011049045.1	Alkanophagales	96.03	0.31
GB_GCA_900065925.1	Nitrososphaerales	99.81	0.07
GB_GCA_041287225.1	Thermoproteales	91.72	0.1
RS_GCF_902784195.1	Methanobacteriales	99.77	0.25
GB_GCA_038729465.1	Aciduliprofundales	96.79	0.02
RS_GCF_009898475.1	Nitrososphaerales	89.56	0.29
GB_GCA_029861345.1	Nitrososphaerales	95.11	1.9
RS_GCF_009914725.1	Methanomicrobiales	94.3	0.26
GB_GCA_028274865.1	Halobacteriales	80.52	3.46
GB_GCA_036844865.1	Nitrososphaerales	90.97	1.03
RS_GCF_900188065.1	Halobacteriales	98.35	2.47
RS_GCF_963667735.1	Methanomicrobiales	97.58	0.34
RS_GCF_002508705.1	Methanomicrobiales	99.94	3.93
GB_GCA_017857595.1	Gearchaeales	89.94	1.49
GB_GCA_025061095.1	Culexarchaeales	93.01	3.57
RS_GCF_000739595.1	Halobacteriales	99.62	3.02
GB_GCA_033854115.1	UBA184	96.84	1.43
GB_GCA_038848695.1	Bathyarchaeales	90.22	0.36
RS_GCF_000017185.1	Methanococcales	99.8	0.0
GB_GCA_021159365.1	Caldarchaeales	88.94	1.64
RS_GCF_038751955.1	Methanomicrobiales	99.7	0.38
GB_GCA_024518585.1	Methanomicrobiales	96.53	0.11
GB_GCA_903819595.1	Methanomicrobiales	96.78	1.57
GB_GCA_019057815.1	Heimdallarchaeales	95.38	2.07
RS_GCF_028278985.1	Nitrososphaerales	99.01	0.03
GB_GCA_009665115.1	Nitrososphaerales	94.27	0.99
GB_GCA_009777615.1	Methanomassiliicoccales	99.05	3.04
GB_GCA_041622435.1	JACPAO01	85.86	5.18
RS_GCF_000204925.1	Sulfolobales	99.88	0.03
GB_GCA_019322805.1	Woesearchaeales	92.8	0.87
GB_GCA_002503205.1	Thermoplasmatales	87.44	0.45
RS_GCF_024464185.1	Halobacteriales	99.98	1.43
GB_GCA_023539495.1	Caldarchaeales	95.89	1.31
GB_GCA_028682895.1	Methanomassiliicoccales	90.97	0.26
GB_GCA_905202485.1	Methanomassiliicoccales	97.02	0.37
RS_GCF_030682845.1	Methanosarcinales	99.83	1.13
RS_GCF_902801725.1	Methanobacteriales	94.04	0.28
RS_GCF_024218795.1	Halobacteriales	100.0	8.79
GB_GCA_030156945.1	Thermococcales	99.73	1.34
RS_GCF_023028225.1	Halobacteriales	99.94	0.76
RS_GCF_021083305.1	Halobacteriales	100.0	6.5
RS_GCF_001870125.1	Nitrososphaerales	99.89	0.52
GB_GCA_002503985.1	UBA184	91.77	1.87
GB_GCA_038894495.1	Sulfolobales	94.08	0.66
RS_GCF_023684405.1	Methanosarcinales	99.97	4.36
RS_GCF_018433835.1	Methanomicrobiales	99.93	2.52
GB_GCA_905339155.1	Methanosarcinales	97.0	5.43
RS_GCF_003439925.1	Halobacteriales	99.35	0.1
GB_GCA_021806165.1	Sysuiplasmatales	95.92	1.06
GB_GCA_030611265.1	Methanosarcinales	98.31	3.58
GB_GCA_021828665.1	UBA184	97.82	0.0
GB_GCA_035499145.1	UBA184	87.15	0.85
RS_GCF_000993805.1	Thermofilales	99.93	0.26
RS_GCF_017873415.1	Methanosarcinales	99.98	2.48
GB_GCA_040409725.1	Halobacteriales	93.31	1.09
GB_GCA_013415695.1	Methanomassiliicoccales	99.6	1.96
GB_GCA_035622475.1	Nitrososphaerales	94.0	1.22
RS_GCF_026991495.1	Thermococcales	94.87	0.78
GB_GCA_026014465.1	Bathyarchaeales	95.74	1.34
RS_GCF_000739065.1	Methanococcales	99.92	0.03
RS_GCF_002952775.1	Halobacteriales	99.99	3.01
RS_GCF_016806735.1	Micrarchaeales	92.72	0.64
RS_GCF_937919355.1	Methanomicrobiales	96.46	0.94
GB_GCA_028279705.1	QMZP01	91.82	0.35
GB_GCA_001437625.1	Nitrososphaerales	96.23	0.32
GB_GCA_011052825.1	UBA202	97.19	2.55
GB_GCA_005877205.1	Nitrososphaerales	99.47	0.83
RS_GCF_000376445.1	Halobacteriales	99.95	2.51
GB_GCA_902774685.1	Methanobacteriales	87.13	1.04
GB_GCA_040225955.1	Asgardarchaeales	93.49	7.78
GB_GCA_019058315.1	Helarchaeales	94.29	6.61
GB_GCA_031261915.1	Methanobacteriales	94.14	7.97
RS_GCF_900107665.1	Halobacteriales	99.8	3.67
RS_GCF_001316005.1	Thermoproteales	67.27	0.86
GB_GCA_027064425.1	Methanopyrales	99.17	0.78
GB_GCA_003702465.1	Nitrososphaerales	89.82	0.73
RS_GCF_000970265.1	Methanosarcinales	99.96	0.22
RS_GCF_003841505.1	Halobacteriales	99.89	2.33
GB_GCA_012728895.1	Methanomicrobiales	95.07	0.22
GB_GCA_014361095.1	Hadarchaeales	92.01	1.46
GB_GCA_038848525.1	Bathyarchaeales	95.42	0.35
GB_GCA_015521735.1	Sulfolobales	100.0	0.87
GB_GCA_027886975.1	Nitrososphaerales	94.77	3.67
GB_GCA_035250685.1	Nitrososphaerales	95.41	0.78
GB_GCA_021828085.1	UBA184	92.79	6.23
RS_GCF_003264935.1	Methanobacteriales	99.94	0.0
RS_GCF_000214415.1	Methanococcales	99.95	0.39
GB_GCA_002508425.1	Methanosarcinales	95.12	1.08
RS_GCF_937146585.1	Halobacteriales	92.28	0.74
RS_GCF_022693705.1	Thermofilales	99.9	0.73
GB_GCA_030668875.1	Heimdallarchaeales	92.34	4.43
GB_GCA_020347565.1	UBA10834	90.29	2.0
GB_GCA_036567605.1	Methanosarcinales	97.95	4.06
GB_GCA_034008115.1	Methanosarcinales	99.99	2.95
GB_GCA_035499455.1	UBA184	89.25	0.37
GB_GCA_019323655.1	Woesearchaeales	92.94	0.49
RS_GCF_000223395.1	Sulfolobales	99.53	0.06
GB_GCA_029240435.1	Nitrososphaerales	85.3	3.58
RS_GCF_022064045.1	Sulfolobales	99.94	0.55
GB_GCA_022749845.1	UBA184	88.54	3.55
GB_GCA_017622255.1	Methanomicrobiales	79.49	2.44
GB_GCA_038851075.1	Hadarchaeales	88.21	0.21
GB_GCA_036003785.1	Nitrososphaerales	93.44	0.81
GB_GCA_011605725.1	EX4484-205	93.25	1.69
GB_GCA_026394555.1	Methanotrichales	96.46	0.71
RS_GCF_900107205.1	Halobacteriales	99.76	0.44
RS_GCF_002506585.1	Methanomicrobiales	95.62	1.04
GB_GCA_013911135.1	Nitrososphaerales	98.6	0.0
GB_GCA_016927425.1	Methanotrichales	99.24	0.0
RS_GCF_001647085.1	Thermococcales	99.14	0.28
RS_GCF_900079115.1	Sulfolobales	99.99	0.97
RS_GCF_024464595.1	Halobacteriales	99.94	1.43
RS_GCF_028274965.1	Halobacteriales	94.06	1.03
GB_GCA_021108275.1	Methanosarcinales	99.4	1.69
GB_GCA_029557835.1	Anstonellales	92.81	0.15
GB_GCA_031287135.1	Methanomassiliicoccales	84.93	0.53
GB_GCA_041581335.1	JACPAO01	91.49	1.34
RS_GCF_030019085.1	Methanomicrobiales	99.64	0.14
GB_GCA_963591575.1	Methanomassiliicoccales	99.92	0.34
GB_GCA_018238155.1	JABLTI01	90.71	5.94
GB_GCA_015660965.1	Methanomicrobiales	99.88	3.61
GB_GCA_023256475.1	Thermoplasmatales	89.0	1.48
GB_GCA_031961165.1	Thermoplasmatales	95.92	0.21
GB_GCA_020343515.1	DHVEG-1	86.68	1.03
GB_GCA_001552015.1	Nanobdellales	95.27	0.58
GB_GCA_027064525.1	Archaeoglobales	99.99	0.38
RS_GCF_038881575.1	Sulfolobales	99.9	1.29
RS_GCF_032116555.1	Halobacteriales	99.9	0.28
RS_GCF_017874375.1	Methanosarcinales	98.84	0.15
GB_GCA_008080745.1	Thorarchaeales	97.98	4.79
GB_GCA_021108405.1	Methanosarcinales	99.01	1.95
GB_GCA_021162845.1	QMSL01	94.97	0.48
GB_GCA_025059205.1	Caldarchaeales	96.97	0.23
RS_GCF_017875325.1	Methanomicrobiales	99.71	0.55
RS_GCF_029338395.1	Halobacteriales	99.74	3.77
GB_GCA_030611205.1	Methanotrichales	95.17	1.34
RS_GCF_021233415.1	Halobacteriales	99.41	1.57
GB_GCA_902386535.1	Burarchaeales	91.06	5.4
RS_GCF_000015825.1	Methanomicrobiales	99.71	0.41
GB_GCA_002498605.1	Methanomassiliicoccales	88.73	0.09
RS_GCF_024170505.1	Methanomicrobiales	99.89	0.21
GB_GCA_041304605.1	Methanomassiliicoccales	95.85	0.64
GB_GCA_014361445.1	Methanomethylicales	89.94	1.04
GB_GCA_012026835.1	Methanosarcinales	99.82	1.13
GB_GCA_003336485.1	Alkanophagales	93.55	0.78
GB_GCA_002506085.1	Methanomicrobiales	94.47	0.51
GB_GCA_041476045.1	UBA184	89.1	0.31
RS_GCF_000017165.1	Methanococcales	99.96	0.28
GB_GCA_025517425.1	Halobacteriales	98.78	0.0
RS_GCF_000337375.1	Halobacteriales	99.37	1.16
RS_GCF_032714615.1	Methanomicrobiales	95.77	0.4
GB_GCA_021323375.2	Caldarchaeales	89.47	2.04
RS_GCF_030186535.1	Sulfolobales	99.92	0.29
RS_GCF_007826885.1	Nitrososphaerales	98.28	0.65
GB_GCA_001914405.1	Methanonatronarchaeales	95.06	1.74
RS_GCF_013391105.1	Halobacteriales	99.84	2.8
GB_GCA_021163705.1	Aciduliprofundales	94.03	1.21
GB_GCA_021814005.1	Anstonellales	92.22	0.55
GB_GCA_035528035.1	JABLTI01	86.43	6.73
GB_GCA_021817415.1	Thermoplasmatales	89.03	3.75
GB_GCA_026394495.1	DHVEG-1	92.99	0.86
GB_GCA_026014725.1	Bathyarchaeales	97.41	1.63
GB_GCA_035655435.1	Iainarchaeales	89.35	1.72
GB_GCA_030153385.1	Archaeoglobales	95.0	0.0
GB_GCA_017399555.1	Methanomicrobiales	92.66	0.98
GB_GCA_003151535.1	Methanobacteriales	95.53	1.45
RS_GCF_041477585.1	Halobacteriales	99.46	0.76
RS_GCF_001462395.1	Sulfolobales	99.79	0.0
GB_GCA_963692915.1	Nitrososphaerales	99.86	0.0
GB_GCA_026413765.1	Anstonellales	100.0	1.02
GB_GCA_028682915.1	Methanomassiliicoccales	93.68	2.44
GB_GCA_021820565.1	Thermoplasmatales	91.09	3.56
GB_GCA_002839545.1	Methanosarcinales	91.6	0.56
RS_GCF_009729035.1	Sulfolobales	99.98	0.51
GB_GCA_038871515.1	Fermentimicrarchaeales	98.23	0.47
GB_GCA_034659035.1	Methanosarcinales	85.24	0.28
RS_GCF_000243455.1	Methanococcales	99.96	0.04
GB_GCA_035380685.1	Methanotrichales	91.03	1.35
GB_GCA_012513715.1	Bathyarchaeales	91.7	1.77
GB_GCA_015520735.1	Sulfolobales	99.77	0.57
GB_GCA_902763685.1	Methanomassiliicoccales	93.82	0.46
RS_GCF_016282985.1	Methanobacteriales	95.5	0.32
GB_GCA_903832665.1	Methanomicrobiales	98.8	2.04
GB_GCA_021161255.1	B24	95.62	1.16
RS_GCF_900198835.1	Thermococcales	99.96	0.31
GB_GCA_001940705.1	Thorarchaeales	85.23	5.7
GB_GCA_035625455.1	Nitrososphaerales	94.99	2.57
GB_GCA_023539445.1	Caldarchaeales	95.8	0.09
GB_GCA_021811935.1	Conexivisphaerales	85.14	0.3
RS_GCF_000018305.1	Thermoproteales	99.97	0.19
RS_GCF_038562635.1	Methanobacteriales	99.97	3.44
GB_GCA_001563305.1	Methanomassiliicoccales	98.37	0.46
GB_GCA_013343275.1	Nanosalinales	96.48	0.42
GB_GCA_038880255.1	Aciduliprofundales	93.07	0.02
GB_GCA_037386545.1	Bathyarchaeales	87.68	0.97
RS_GCF_029229925.1	Halobacteriales	99.93	0.59
GB_GCA_003034855.1	Methanonatronarchaeales	93.04	0.29
GB_GCA_035297385.1	Bathyarchaeales	96.55	2.75
GB_GCA_003135575.1	Nitrososphaerales	87.48	2.63
GB_GCA_035637195.1	RBG-16-68-12	85.52	4.12
RS_GCF_024266705.1	Halobacteriales	99.99	5.73
RS_GCF_000739555.1	Halobacteriales	92.94	0.58
GB_GCA_017609985.1	Iainarchaeales	86.5	3.0
RS_GCF_019599465.1	Halobacteriales	100.0	3.24
GB_GCA_027315065.1	Nitrososphaerales	97.74	0.23
RS_GCF_015062985.1	Methanobacteriales	92.03	1.16
GB_GCA_023008585.1	Halobacteriales	100.0	0.95
RS_GCF_041447285.1	Methanosarcinales	100.0	0.63
RS_GCF_032714495.1	Methanomicrobiales	96.26	0.56
GB_GCA_022865455.1	Bathyarchaeales	95.06	3.54
GB_GCA_035685565.1	Nitrososphaerales	96.12	1.1
GB_GCA_027064885.1	Sulfolobales	96.52	6.92
GB_GCA_040753215.1	Anstonellales	91.41	0.08
GB_GCA_036733165.1	Methanofastidiosales	96.04	0.16
GB_GCA_003584625.1	Methanobacteriales	99.96	0.0
RS_GCF_900100715.1	Methanosarcinales	99.98	0.38
GB_GCA_027027675.1	Thermofilales	76.21	0.69
GB_GCA_029786595.1	Conexivisphaerales	82.69	4.24
RS_GCF_000337495.1	Halobacteriales	99.3	2.84
GB_GCA_002898395.1	Caldarchaeales	93.65	0.7
RS_GCF_001307315.1	Halobacteriales	79.93	1.22
